index,period,org_code,attendances,breaches,admissions
1281,2016-12-01,RTD,10614,1422,2361
1284,2016-12-01,RFR,2572,535,721
1285,2016-12-01,RM2,8542,1389,2796
1286,2016-12-01,RTX,7222,1578,2214
1288,2016-12-01,RWW,6544,1489,2639
1291,2016-12-01,RBL,8142,1819,2588
1294,2016-12-01,RRF,7470,1298,1864
1295,2016-12-01,RCB,9147,2887,3464
1297,2016-12-01,RTK,8574,1661,2095
1303,2016-12-01,RXH,12300,2597,3467
1306,2016-12-01,RXQ,7043,1456,2895
1312,2016-12-01,RN7,8993,2187,2565
1314,2016-12-01,RBD,3439,77,1274
1316,2016-12-01,RVV,12487,4481,3384
1318,2016-12-01,RXC,9136,2055,2793
1320,2016-12-01,RDU,19713,2228,6370
1322,2016-12-01,RTE,10843,2809,3396
1323,2016-12-01,RN3,6665,2085,2415
1325,2016-12-01,RN5,8976,1391,2445
1328,2016-12-01,R1F,3391,672,821
1332,2016-12-01,RWF,11901,2740,3546
1334,2016-12-01,RPA,10002,2640,2248
1335,2016-12-01,RVJ,6908,1523,2323
1336,2016-12-01,RBZ,3613,405,1099
1340,2016-12-01,RTH,10813,1105,3612
1343,2016-12-01,RK9,7874,1289,2905
1345,2016-12-01,RD3,5406,567,1688
1347,2016-12-01,RHU,9081,3065,3018
1351,2016-12-01,RHW,9238,846,3095
1353,2016-12-01,REF,5840,1324,2617
1355,2016-12-01,RH8,8087,677,1972
1357,2016-12-01,RA2,5975,1051,2166
1358,2016-12-01,RD1,6028,993,2144
1360,2016-12-01,RNZ,3703,433,1051
1368,2016-12-01,RTP,8662,883,2659
1370,2016-12-01,RBA,5388,460,1853
1372,2016-12-01,RDZ,6080,433,1823
1374,2016-12-01,RA9,5959,1128,2584
1376,2016-12-01,RHM,8467,1280,3308
1378,2016-12-01,RA7,9091,2196,3021
1380,2016-12-01,RYR,11485,1106,3532
1382,2016-12-01,RA3,4235,1413,1016
1387,2016-12-01,RA4,4082,245,1535
1388,2016-11-01,RF4,20117,2612,4441
1391,2016-11-01,R1H,28843,5298,6612
1396,2016-11-01,RQM,16478,1985,3399
1398,2016-11-01,RJ6,6179,1044,2207
1402,2016-11-01,RVR,12294,562,3066
1404,2016-11-01,RJ1,12129,2487,3123
1408,2016-11-01,RQX,9946,663,1605
1410,2016-11-01,RYJ,9741,3094,3058
1413,2016-11-01,RJZ,16842,4568,4329
1416,2016-11-01,RAX,8776,1159,1731
1418,2016-11-01,RJ2,17774,3695,4868
1420,2016-11-01,R1K,11526,4062,4715
1424,2016-11-01,RAP,13981,2301,2877
1428,2016-11-01,RAL,18771,3278,3816
1431,2016-11-01,RJ7,12654,911,3709
1434,2016-11-01,RAS,5701,2295,1766
1438,2016-11-01,RKE,8271,1232,1270
1439,2016-11-01,RRV,11512,1673,1979
1443,2016-11-01,RDD,11284,789,2268
1444,2016-11-01,RC1,5998,434,1694
1446,2016-11-01,RQ3,5680,584,1116
1447,2016-11-01,RJF,5081,780,1723
1449,2016-11-01,RGT,9273,2545,2823
1451,2016-11-01,RFS,6674,634,1954
1453,2016-11-01,RDE,7028,898,2388
1455,2016-11-01,RTG,10817,1777,3363
1459,2016-11-01,RWH,9063,1416,3258
